Fecha,Radiación
25/04/2014,257.7
25/04/2014,576.3
25/04/2014,312.1
30/06/2014,120.1
30/06/2014,96.2
30/06/2014,32.6
30/06/2014,0.6
01/07/2014,39.8
01/07/2014,204.2
01/07/2014,566.2
01/07/2014,517.9
01/07/2014,416.5
01/07/2014,203.3
01/07/2014,103.2
01/07/2014,185.2
01/07/2014,260.2
01/07/2014,286.9
01/07/2014,311.7
01/07/2014,118.6
01/07/2014,55.1
01/07/2014,0.6
01/07/2014,0.1
02/07/2014,32.2
02/07/2014,219.5
02/07/2014,169.2
02/07/2014,352.2
02/07/2014,344.9
02/07/2014,838.2
02/07/2014,961.6
02/07/2014,903.5
02/07/2014,406
02/07/2014,344.3
02/07/2014,282.1
02/07/2014,22.1
02/07/2014,7.5
02/07/2014,1.3
02/07/2014,0.1
02/07/2014,0.1
03/07/2014,0.1
03/07/2014,19.3
03/07/2014,32.6
03/07/2014,83.6
03/07/2014,131.2
03/07/2014,222.5
03/07/2014,490
03/07/2014,513.5
03/07/2014,539.6
03/07/2014,523.3
03/07/2014,532.3
03/07/2014,286.4
03/07/2014,54.7
03/07/2014,12
03/07/2014,0.8
03/07/2014,1.4
04/07/2014,6.5
04/07/2014,68.3
04/07/2014,109.2
04/07/2014,135.1
04/07/2014,391.4
04/07/2014,606.9
04/07/2014,760.1
04/07/2014,228.8
04/07/2014,20.4
04/07/2014,66.7
04/07/2014,349.9
04/07/2014,97.3
04/07/2014,31.2
04/07/2014,0.4
05/07/2014,17.5
05/07/2014,117.2
05/07/2014,281.4
05/07/2014,346.6
05/07/2014,535.5
05/07/2014,806
05/07/2014,545.1
05/07/2014,661
05/07/2014,518.4
05/07/2014,193
05/07/2014,106.1
05/07/2014,49.3
05/07/2014,6.8
05/07/2014,0.2
06/07/2014,8
06/07/2014,73.2
06/07/2014,48.1
06/07/2014,79.8
06/07/2014,430.7
06/07/2014,640.1
06/07/2014,864.6
06/07/2014,781.6
06/07/2014,399.9
06/07/2014,102.5
06/07/2014,96
06/07/2014,38
06/07/2014,5.2
06/07/2014,0.3
07/07/2014,13
07/07/2014,138.2
07/07/2014,245.4
07/07/2014,619.2
07/07/2014,846.2
07/07/2014,681.7
07/07/2014,273.8
07/07/2014,125.1
07/07/2014,635.9
07/07/2014,361.9
07/07/2014,61.1
07/07/2014,178.4
07/07/2014,70.6
07/07/2014,0.8
08/07/2014,36.2
08/07/2014,207.9
08/07/2014,366.4
08/07/2014,522.7
08/07/2014,833.8
08/07/2014,938.5
08/07/2014,865.9
08/07/2014,680
08/07/2014,316.7
08/07/2014,137.9
08/07/2014,167.7
08/07/2014,105.4
08/07/2014,34.1
08/07/2014,1.5
09/07/2014,15
09/07/2014,68.9
09/07/2014,247.8
09/07/2014,445.1
09/07/2014,835.1
09/07/2014,771.7
09/07/2014,1040.7
09/07/2014,355
09/07/2014,120.2
09/07/2014,95.7
09/07/2014,75.6
09/07/2014,50.1
09/07/2014,12
09/07/2014,1.1
10/07/2014,34.3
10/07/2014,125.3
10/07/2014,337.3
10/07/2014,495.2
10/07/2014,676
10/07/2014,791.1
10/07/2014,336.5
10/07/2014,101.5
10/07/2014,206.6
10/07/2014,80.8
10/07/2014,73
10/07/2014,43.2
10/07/2014,18.4
10/07/2014,0.4
11/07/2014,27.8
11/07/2014,68.7
11/07/2014,361.4
11/07/2014,631.4
11/07/2014,801.8
11/07/2014,818.3
11/07/2014,916.9
11/07/2014,947.6
11/07/2014,864.5
11/07/2014,395.9
11/07/2014,256.8
11/07/2014,18.7
11/07/2014,18.5
11/07/2014,1.1
12/07/2014,39.9
12/07/2014,221.4
12/07/2014,452.8
12/07/2014,659.6
12/07/2014,815.4
12/07/2014,955.1
12/07/2014,958
12/07/2014,927.9
12/07/2014,859.5
12/07/2014,701.3
12/07/2014,383.4
12/07/2014,290.5
12/07/2014,78.7
12/07/2014,4.7
12/07/2014,0.1
13/07/2014,37.2
13/07/2014,195.3
13/07/2014,460.4
13/07/2014,694.3
13/07/2014,849.8
13/07/2014,840.5
13/07/2014,1010.4
13/07/2014,1026.6
13/07/2014,937.9
13/07/2014,529.4
13/07/2014,156.4
13/07/2014,85
13/07/2014,16.2
13/07/2014,0.4
14/07/2014,16.4
14/07/2014,58
14/07/2014,195.1
14/07/2014,423.1
14/07/2014,642.3
14/07/2014,899.9
14/07/2014,910
14/07/2014,941.6
14/07/2014,599.9
14/07/2014,267
