Año,Flujo de efectivo Q1 ($/MNX),Flujo de efectivo Q2 ($/MNX),Flujo de efectivo Q3 ($/MNX)
1,-3745055.87,-1639858.49,-1478416.49
2,-1652170.01,-1441775.25,-1118891.25
3,-1559284.15,-1243692.01,-759366.01
4,-1466398.29,-1045608.77,-399840.77
5,-1373512.43,-847525.53,-40315.53
6,-1280626.57,-649442.29,319209.71
7,-1187740.71,-451359.05,678734.95
8,-1094854.85,-253275.81,1038260.19
9,-1001968.99,-55192.57,1397785.43
10,-909083.13,142890.67,1757310.67
11,-816197.27,340973.91,2116835.91
12,-723311.41,539057.15,2476361.15
13,-630425.55,737140.39,2835886.39
14,-537539.69,935223.63,3195411.63
15,-444653.83,1133306.87,3554936.87
16,-351767.97,1331390.11,3914462.11
17,-258882.11,1529473.35,4273987.35
18,-165996.25,1727556.59,4633512.59
19,-73110.39,1925639.83,4993037.83
20,19775.47,2123723.07,5352563.07
