Año,FlujoQ1,FlujoQ2,FlujoQ3
1,-22029620.6,-21981475.94,-21903249.87
2,-21979291.58,-21883002.25,-21726550.11
3,-21928962.55,-21784528.56,-21549850.35
4,-21878633.53,-21686054.87,-21373150.59
5,-21828304.5,-21587581.18,-21196450.83
6,-21777975.47,-21489107.49,-21019751.07
7,-21727646.45,-21390633.8,-20843051.31
8,-21677317.42,-21292160.11,-20666351.55
9,-21626988.4,-21193686.42,-20489651.79
10,-21576659.37,-21095212.73,-20136252.27
11,-21526330.34,-20996739.04,-19959552.51
12,-21476001.32,-20898265.35,-19782852.75
13,-21425672.29,-20799791.66,-19606152.99
14,-21375343.27,-20701317.97,-19429453.23
15,-21325014.24,-20602844.28,-19252753.47
16,-21274685.21,-20504370.59,-19076053.71
17,-21224356.19,-20405896.9,-18899353.95
18,-21174027.16,-20307423.21,-18722654.19
19,-21123698.14,-20208949.52,-18545954.43
20,-21073369.11,-20110475.83,-18369254.67
21,-21023040.08,-20012002.14,-18192554.91
22,-20972711.06,-19913528.45,-18015855.15
23,-20922382.03,-19815054.76,-17839155.39
24,-20872053.01,-19716581.07,-17662455.63
25,-20821723.98,-19618107.38,-17485755.87
26,-20771394.95,-19519633.69,-17309056.11
27,-20721065.93,-19421160,-17132356.35
28,-20670736.9,-19322686.31,-16955656.59
29,-20620407.88,-19224212.62,-16778956.83
30,-20570078.85,-19125738.93,-16602257.07
31,-20519749.82,-19027265.24,-16425557.31
32,-20469420.8,-18928791.55,-16248857.55
33,-20419091.77,-18830317.86,-16072157.79
34,-20368762.75,-18731844.17,-15895458.03
35,-20318433.72,-18633370.48,-15718758.27
36,-20268104.69,-18534896.79,-15542058.51
37,-20217775.67,-18436423.1,-15365358.75
38,-20167446.64,-18337949.41,-15188658.99
39,-20117117.62,-18239475.72,-15011959.23
40,-20066788.59,-18141002.03,-14835259.47
41,-20016459.56,-18042528.34,-14658559.71
42,-19966130.54,-17944054.65,-14481859.95
43,-19915801.51,-17845580.96,-14305160.19
44,-19865472.49,-17747107.27,-14128460.43
45,-19815143.46,-17648633.58,-13951760.67
46,-19764814.43,-17550159.89,-13775060.91
47,-19714485.41,-17451686.2,-13598361.15
48,-19664156.38,-17353212.51,-13421661.39
49,-19613827.36,-17254738.82,-13244961.63
50,-19563498.33,-17156265.13,-13068261.87
51,-19513169.3,-17057791.44,-12891562.11
52,-19462840.28,-16959317.75,-12714862.35
53,-19412511.25,-16860844.06,-12538162.59
54,-19362182.23,-16762370.37,-12361462.83
55,-19311853.2,-16663896.68,-12184763.07
56,-19261524.17,-16565422.99,-12008063.31
57,-19211195.15,-16466949.3,-11831363.55
58,-19160866.12,-16368475.61,-11654663.79
59,-19110537.1,-16270001.92,-11477964.03
60,-19060208.07,-16171528.23,-11301264.27
61,-19009879.04,-16073054.54,-11124564.51
62,-18959550.02,-15974580.85,-10947864.75
63,-18909220.99,-15876107.16,-10771164.99
64,-18858891.97,-15777633.47,-10594465.23
65,-18808562.94,-15679159.78,-10417765.47
66,-18758233.91,-15580686.09,-10241065.71
67,-18707904.89,-15482212.4,-10064365.95
68,-18657575.86,-15383738.71,-9887666.19
69,-18607246.84,-15285265.02,-9710966.43
70,-18556917.81,-15186791.33,-9534266.67
71,-18506588.78,-15088317.64,-9357566.91
72,-18456259.76,-14989843.95,-9180867.15
73,-18405930.73,-14891370.26,-9004167.39
74,-18355601.71,-14792896.57,-8827467.63
75,-18305272.68,-14694422.88,-8650767.87
76,-18254943.65,-14595949.19,-8474068.11
77,-18204614.63,-14497475.5,-8297368.35
78,-18154285.6,-14399001.81,-8120668.59
79,-18103956.58,-14300528.12,-7943968.83
80,-18053627.55,-14202054.43,-7767269.07
81,-18003298.52,-14103580.74,-7590569.31
82,-17952969.5,-14005107.05,-7413869.55
83,-17902640.47,-13906633.36,-7237169.79
84,-17852311.45,-13808159.67,-7060470.03
85,-17801982.42,-13709685.98,-6883770.27
86,-17751653.39,-13611212.29,-6707070.51
87,-17701324.37,-13512738.6,-6530370.75
