Fecha,Hora,Precio marginal local ($/MWh)
01/04/2017,1,1519.48
01/04/2017,2,1419.61
01/04/2017,3,992.41
01/04/2017,4,961.41
01/04/2017,5,945.04
01/04/2017,6,971.34
01/04/2017,7,977.5
01/04/2017,8,1115.78
01/04/2017,9,1528.13
01/04/2017,10,1837.04
01/04/2017,11,1773.89
01/04/2017,12,1879.8
01/04/2017,13,2318.7
01/04/2017,14,1837.99
01/04/2017,15,2109.43
01/04/2017,16,1768.08
01/04/2017,17,1850.56
01/04/2017,18,1739.47
01/04/2017,19,1865.08
01/04/2017,20,1773.18
01/04/2017,21,1878.84
01/04/2017,22,1744.53
01/04/2017,23,1548.66
01/04/2017,24,1426.51
02/04/2017,1,1111.52
02/04/2017,2,918.61
02/04/2017,3,896.81
02/04/2017,4,882.07
02/04/2017,5,879.47
02/04/2017,6,881.08
02/04/2017,7,861.33
02/04/2017,8,797.33
02/04/2017,9,893.02
02/04/2017,10,953.13
02/04/2017,11,1003.52
02/04/2017,12,1043.42
02/04/2017,13,1109.16
02/04/2017,14,1140.87
02/04/2017,15,1124.36
02/04/2017,16,1068.73
02/04/2017,17,1120.77
02/04/2017,18,1142.4
02/04/2017,19,1425.78
02/04/2017,20,1784.03
02/04/2017,21,1672.46
02/04/2017,22,1573.29
02/04/2017,23,1152.35
03/04/2017,1,1130.98
03/04/2017,2,1000.62
03/04/2017,3,898.19
03/04/2017,4,891.41
03/04/2017,5,912.08
03/04/2017,6,962.72
03/04/2017,7,1051.85
03/04/2017,8,1603.02
03/04/2017,9,1650.34
03/04/2017,10,1800.68
03/04/2017,11,2007.59
03/04/2017,12,2320.26
03/04/2017,13,2453.11
03/04/2017,14,2685.67
03/04/2017,15,2310.44
03/04/2017,16,1760.12
03/04/2017,17,1760.19
03/04/2017,18,1771.14
03/04/2017,19,1624.37
03/04/2017,20,1408.32
03/04/2017,21,1693.13
03/04/2017,22,1713.29
03/04/2017,23,1486.45
03/04/2017,24,1054.81
04/04/2017,1,1076.37
04/04/2017,2,1688.06
04/04/2017,3,1454.05
04/04/2017,4,1507.5
04/04/2017,5,1091.9
04/04/2017,6,1140.46
04/04/2017,7,1562.62
04/04/2017,8,1712.55
04/04/2017,9,1589.84
04/04/2017,10,1945.93
04/04/2017,11,2046.61
04/04/2017,12,2187.35
04/04/2017,13,2155.38
04/04/2017,14,2048.67
04/04/2017,15,2039.5
04/04/2017,16,2141.16
04/04/2017,17,2121.65
04/04/2017,18,2390.92
04/04/2017,19,2137.44
04/04/2017,20,2017.9
04/04/2017,21,2466.31
04/04/2017,22,2452.1
04/04/2017,23,2382.34
04/04/2017,24,1744.67
05/04/2017,1,2466.92
05/04/2017,2,2472.21
05/04/2017,3,2398.57
05/04/2017,4,2384.05
05/04/2017,5,1734.45
05/04/2017,6,1656.76
05/04/2017,7,1786.77
05/04/2017,8,1819.45
05/04/2017,9,2456.86
05/04/2017,10,2464.51
05/04/2017,11,4652.98
05/04/2017,12,5584.7
05/04/2017,13,2567.45
05/04/2017,14,1723.07
05/04/2017,15,2385.78
05/04/2017,16,2834.86
05/04/2017,17,2484.58
05/04/2017,18,3826
05/04/2017,19,2085.49
05/04/2017,20,2066.03
05/04/2017,21,2068.03
05/04/2017,22,2389.66
05/04/2017,23,2451.35
05/04/2017,24,1660.84
06/04/2017,1,1492.26
06/04/2017,2,1083.74
06/04/2017,3,987.89
06/04/2017,4,1008.06
06/04/2017,5,1050.93
06/04/2017,6,1156.28
06/04/2017,7,1376.27
06/04/2017,8,1420.99
06/04/2017,9,1420.33
06/04/2017,10,1602.34
06/04/2017,11,1605.25
06/04/2017,12,1860.87
06/04/2017,13,2366.17
06/04/2017,14,1571.89
06/04/2017,15,1539.8
06/04/2017,16,1543.62
06/04/2017,17,2766.73
06/04/2017,18,1418.4
06/04/2017,19,1521.22
06/04/2017,20,1520.05
06/04/2017,21,1612.88
06/04/2017,22,1527.5
06/04/2017,23,1566.95
06/04/2017,24,1165.81
07/04/2017,1,958.19
07/04/2017,2,977.88
07/04/2017,3,845.06
07/04/2017,4,870.25
07/04/2017,5,904.34
07/04/2017,6,959.84
07/04/2017,7,1127.84
07/04/2017,8,1295.23
07/04/2017,9,1537.73
07/04/2017,10,1538.27
07/04/2017,11,1587.07
07/04/2017,12,1652.53
07/04/2017,13,1579.24
07/04/2017,14,1640.73
07/04/2017,15,1647.93
07/04/2017,16,1560.61
07/04/2017,17,1542.59
07/04/2017,18,1646.16
07/04/2017,19,1603.26
07/04/2017,20,1602.49
07/04/2017,21,1598.47
07/04/2017,22,1552.66
07/04/2017,23,1532.95
07/04/2017,24,1505.75
08/04/2017,1,1067.5
08/04/2017,2,1073.61
08/04/2017,3,992.65
08/04/2017,4,925.65
08/04/2017,5,958.35
08/04/2017,6,984.93
08/04/2017,7,994.66
08/04/2017,8,1086.22
08/04/2017,9,1528.83
08/04/2017,10,1576.17
08/04/2017,11,1726.03
08/04/2017,12,1710.75
08/04/2017,13,1685.44
08/04/2017,14,1576.05
08/04/2017,15,1633.09
08/04/2017,16,1640.38
08/04/2017,17,1619.19
08/04/2017,18,1583.95
08/04/2017,19,1581.84
08/04/2017,20,1545.41
08/04/2017,21,1607.59
08/04/2017,22,1538.73
08/04/2017,23,1467.46
08/04/2017,24,1023.01
09/04/2017,1,924.96
09/04/2017,2,886.9
09/04/2017,3,702.84
09/04/2017,4,675.98
09/04/2017,5,689.43
09/04/2017,6,713.22
09/04/2017,7,707.28
09/04/2017,8,669.53
09/04/2017,9,712.76
09/04/2017,10,856.18
09/04/2017,11,927.57
09/04/2017,12,1054.44
09/04/2017,13,1071.18
09/04/2017,14,1059.27
09/04/2017,15,1057.05
09/04/2017,16,1036.18
09/04/2017,17,1034.93
09/04/2017,18,1023.06
09/04/2017,19,1033.26
09/04/2017,20,1130.18
09/04/2017,21,1591.34
09/04/2017,22,1753.73
09/04/2017,23,1474.71
09/04/2017,24,1058.59
10/04/2017,1,916.65
10/04/2017,2,922.84
10/04/2017,3,837.48
10/04/2017,4,802.01
10/04/2017,5,826.98
10/04/2017,6,844.94
10/04/2017,7,856.18
10/04/2017,8,1023.18
10/04/2017,9,1150.04
10/04/2017,10,1432.82
10/04/2017,11,1657.67
10/04/2017,12,1820.35
10/04/2017,13,1790.7
10/04/2017,14,1836.37
10/04/2017,15,1825.46
10/04/2017,16,1772.25
