h,Tilt angle β,δ (declinación),cos(θ) formula 1,cos(θ) formula 2,A,Latitude φ,cos(δ),sin(δ),cos(β),sin(β),cos(ω),sin(ω),cos(y),sin(y),cos(φ),sin(φ)
1,0,-23.01163673,0.368895578,0.735362179,0,19.32361,0.920425477,-0.390918074,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
2,0,-22.93054361,0.367665881,0.736312312,0,19.32361,0.920977838,-0.389614966,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
3,0,-22.84265567,0.366332316,0.737340391,0,19.32361,0.921574398,-0.388201789,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
4,0,-22.74799897,0.364895081,0.738445708,0,19.32361,0.922214477,-0.386678754,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
5,0,-22.64660154,0.363354392,0.739627501,0,19.32361,0.922897345,-0.385046089,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
6,0,-22.53849343,0.361710485,0.740884955,0,19.32361,0.923622223,-0.383304043,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
7,0,-22.42370668,0.359963612,0.742217205,0,19.32361,0.924388283,-0.381452884,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
8,0,-22.30227531,0.358114045,0.743623332,0,19.32361,0.925194649,-0.379492901,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
9,0,-22.17423529,0.356162078,0.745102366,0,19.32361,0.926040398,-0.377424404,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
10,0,-22.03962456,0.354108022,0.746653288,0,19.32361,0.926924563,-0.375247725,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
11,0,-21.89848302,0.351952213,0.748275029,0,19.32361,0.927846129,-0.372963217,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
12,0,-21.75085248,0.349695005,0.749966471,0,19.32361,0.928804039,-0.370571257,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
13,0,-21.5967767,0.347336776,0.751726448,0,19.32361,0.929797194,-0.368072245,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
14,0,-21.43630132,0.344877927,0.753553746,0,19.32361,0.930824451,-0.365466607,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
15,0,-21.26947391,0.342318883,0.755447107,0,19.32361,0.931884629,-0.362754792,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
16,0,-21.09634389,0.339660091,0.757405225,0,19.32361,0.932976505,-0.359937275,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
17,0,-20.91696257,0.336902027,0.75942675,0,19.32361,0.93409882,-0.357014558,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
18,0,-20.73138311,0.334045187,0.761510292,0,19.32361,0.935250279,-0.35398717,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
19,0,-20.53966049,0.3310901,0.763654413,0,19.32361,0.936429549,-0.350855667,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
20,0,-20.34185152,0.328037316,0.765857638,0,19.32361,0.937635266,-0.347620637,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
21,0,-20.13801482,0.324887416,0.768118451,0,19.32361,0.938866033,-0.344282693,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
22,0,-19.9282108,0.321641008,0.770435296,0,19.32361,0.94012042,-0.34084248,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
23,0,-19.71250161,0.318298731,0.772806581,0,19.32361,0.94139697,-0.337300674,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
24,0,-19.49095119,0.314861252,0.775230675,0,19.32361,0.942694198,-0.333657982,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
25,0,-19.26362517,0.311329268,0.777705913,0,19.32361,0.944010592,-0.329915144,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
26,0,-19.03059093,0.307703508,0.780230598,0,19.32361,0.945344616,-0.326072932,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
27,0,-18.79191752,0.303984733,0.782802999,0,19.32361,0.946694711,-0.322132152,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
28,0,-18.54767565,0.300173735,0.785421352,0,19.32361,0.948059299,-0.318093644,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
29,0,-18.29793771,0.296271341,0.788083867,0,19.32361,0.949436779,-0.313958282,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
30,0,-18.04277769,0.292278408,0.790788724,0,19.32361,0.950825536,-0.309726978,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
31,0,-17.78227121,0.288195831,0.793534077,0,19.32361,0.952223937,-0.305400677,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
32,0,-17.51649546,0.284024536,0.796318055,0,19.32361,0.953630338,-0.300980362,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
33,0,-17.24552919,0.279765486,0.799138762,0,19.32361,0.955043081,-0.296467054,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
34,0,-16.9694527,0.275419679,0.801994284,0,19.32361,0.956460498,-0.291861808,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
35,0,-16.68834779,0.270988148,0.804882683,0,19.32361,0.957880915,-0.287165722,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
36,0,-16.40229777,0.266471964,0.807802005,0,19.32361,0.959302651,-0.282379929,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
37,0,-16.11138739,0.261872232,0.810750279,0,19.32361,0.96072402,-0.2775056,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
38,0,-15.81570286,0.257190097,0.813725519,0,19.32361,0.962143334,-0.272543949,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
