h,Tilt angle β,δ (declinación),cos(θ) formula 1,cos(θ) formula 2,A,Latitude φ,cos(δ),sin(δ),cos(β),sin(β),cos(ω),sin(ω),cos(y),sin(y),cos(φ),sin(φ),Zenit,Rb
1,0,-23.01163673,0.348113726,0.735362179,5.4,19.32361,0.920425477,-0.390918074,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.735362179,1
2,0,-22.93054361,0.346953304,0.736312312,5.4,19.32361,0.920977838,-0.389614966,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.736312312,1
3,0,-22.84265567,0.345694866,0.737340391,5.4,19.32361,0.921574398,-0.388201789,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.737340391,1
4,0,-22.74799897,0.344338598,0.738445708,5.4,19.32361,0.922214477,-0.386678754,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.738445708,1
5,0,-22.64660154,0.342884705,0.739627501,5.4,19.32361,0.922897345,-0.385046089,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.739627501,1
6,0,-22.53849343,0.341333407,0.740884955,5.4,19.32361,0.923622223,-0.383304043,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.740884955,1
7,0,-22.42370668,0.339684945,0.742217205,5.4,19.32361,0.924388283,-0.381452884,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.742217205,1
8,0,-22.30227531,0.337939574,0.743623332,5.4,19.32361,0.925194649,-0.379492901,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.743623332,1
9,0,-22.17423529,0.336097572,0.745102366,5.4,19.32361,0.926040398,-0.377424404,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.745102366,1
10,0,-22.03962456,0.334159232,0.746653288,5.4,19.32361,0.926924563,-0.375247725,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.746653288,1
11,0,-21.89848302,0.332124871,0.748275029,5.4,19.32361,0.927846129,-0.372963217,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.748275029,1
12,0,-21.75085248,0.329994823,0.749966471,5.4,19.32361,0.928804039,-0.370571257,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.749966471,1
13,0,-21.5967767,0.327769446,0.751726448,5.4,19.32361,0.929797194,-0.368072245,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.751726448,1
14,0,-21.43630132,0.325449117,0.753553746,5.4,19.32361,0.930824451,-0.365466607,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.753553746,1
15,0,-21.26947391,0.323034238,0.755447107,5.4,19.32361,0.931884629,-0.362754792,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.755447107,1
16,0,-21.09634389,0.32052523,0.757405225,5.4,19.32361,0.932976505,-0.359937275,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.757405225,1
17,0,-20.91696257,0.317922542,0.75942675,5.4,19.32361,0.93409882,-0.357014558,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.75942675,1
18,0,-20.73138311,0.315226644,0.761510292,5.4,19.32361,0.935250279,-0.35398717,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.761510292,1
19,0,-20.53966049,0.312438031,0.763654413,5.4,19.32361,0.936429549,-0.350855667,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.763654413,1
